class,comments
1,you are sick upstairs
0,i really dont understand your pointxa0 it seems that you are mixing apples and oranges
0,axcxa0majority of canadians can and has been wrong before now and will be againnnunless youre supportive of the idea that nothing is full proof or perfect so you take your chances and if we should inadvertently kill your son or daughter then thems the breaks and we can always regard you as collateral damage like in wartime and sorry butxcxa0the cheques in the mail 
0,sdl ok but i would hope theyd sign him to a oneyear contract to start with give him the chance to be reliable and productive but give themselves the out if all his time off has hurt his playing skills or if he falls back into old habits
0,yeah and where are you now
1,shut the fuck up you and the rest of your faggot friends should be burned at the stake
1,either you are fake or extremely stupidmaybe both
1,that you are an idiot who understands neither taxation nor womens health
0,jdstorm dont wish him injury but it happened on its own and i doubt hes injured he looked embarrassed to me
0,be carefuljimboog has a fork with your name on it
0,tonnyb or they just dont pay attention 
0,hmmm perhaps some who are too pigfaced to get laid and therefore have zero chance of getting pregnant from such activity hold something against women who can idk stream of consciousnees thought after looking at her 
0,barrettmarson huh her income was 11 her spending was 0 my math puts that at 
1,for some reason u sound retarded lol damn where u been negro
1,you with the racist screen namennyou are a pieceofshit
0,oh  cheating as well1 cup was a cheat fest you still dare to post that commentshame on you lol
1,your such a dickhead
1,your a retard go post your head up your 
0,eephusbluexa0makes you want to say mike macwhogal
0,http wwwyoutubecomwatchvtlyllphkru
0,and you know theyve burned holes in all the carpeting
0,you are a land creature you would drown
0,to all those doomandgloomers the chickenlittles who claim the sky is falling and that society is collapsingcanada has had gay marriage nationwide for years where is the disaster where is the collapse and the persecution youre shouting about where is it please show us some examples because its starting to look like your threats and fears and warnings are nothing but hot air
0,craig we have been saying from the start that this is a very entertaining showxa0 it awakens the horny little goth in mexa0 i met my boyfriend during the first season and one of the first thing we did was watch ahs at my housexa0 i know he likes me and all but to this day he is sure i am far creepier and kinkier than he could ever bexa0 thanks american horror storyxa0 sweet clam loves you
0,strange you are talking about that when there were chelsea fans in here belittling the community shield
0,but how would you actually get the key out
0,oh cool some more internet points for your collection 
0,even though i think there are better coaches out there i am glad del negro is keeping his job i never thought he got enough credit those years when he took those average chicago bulls teams he coached to the playoffs years in a row
0,russellpianoxa0nhmmmmhow can we spin obama honoring vietnam troops as something negativeanswer doesnt matter look at our followers theyll take anythingnn  nobama team xa0hmmm how can we make the liberal messiah look better in light of the revelations of his leaking classified information to the new york timesi know lets have a bogus photo shoot at the viet nam memorial that will make obama look like he cares about vets but first well have to clear all the vets out of the immediate area because they cant be trusted 
0,a good article which for all the good it will do could have been delivered to a brick wall
0,heads up warninganother source of funding for media matters is peter lewis of the progessive insurance company you know those auto insurance commercials that run every minutes on cable television featuring the gal who looks like a blowup doll with red lips andxcxa0a perfectly round mouthif you know what i meannif you have progressivexcxa0auto insurance just know that part of your premium is going to fund a progressive liberalxcxa0organization hell bentxcxa0on destroyingxcxa0our country and our free speech their mission is toxcxa0bring downxcxa0hannitybeckdobbslavinlimbaughboortzetc we must not let them win
0,sdnoriko lol as if capcom listens watch them fuck this up too i hope i am wrong i love okami
