id,class,comments
1,1,you are sick upstairs
2,0,i really dont understand your point it seems that you are mixing apples and oranges
3,0,majority of canadians can and has been wrong before now and will be again unless youre supportive of the idea that nothing is full proof or perfect so you take your chances and if we should inadvertently kill your son or daughter then thems the breaks and we can always regard you as collateral damage like in warti ame and sorry but the cheques in the mail 
4,0,ok but i would hope they sign hi am to a one year contract to start with give hi am the chance to be reliable and productive but give themselves the out if all his ti ame off has hurt his playing skills or if he falls back into old habits
5,0,yeah and where the fuck are you now
6,1,shut the fuck up you and the rest of your stupid friends should be burned at the stake
7,1,either you are fake or extremely stupid maybe both
8,1,that you are an idiot who understands neither taxation nor womens health
9,0,dont wish hi am injury but it happened on its own and i doubt he is injured he looked embarrassed to me
10,0,be careful brother has a fork with your name on it
11,0,i dont know why you people reason like this
12,0,hmmm perhaps some who are too pigfaced to get laid and therefore have zero chance of getting pregnant from such activity hold something against women who can idk stream of consciousnees thought after looking at her 
13,0,barrettmarson huh her income was 11 her spending was 0 my math puts that at 
14,1,for some reason you sound retarded lol damn where have you been negro
15,1,you with the racist screen name you are a piece of shit
16,0,oh  cheating as well cup was a cheat fest you still dare to post that comment shame on you lol
17,1,you are such a dickhead
18,1,you are a retard go post your head up your wall 
19,0,cant you walk without hi am
20,0,fear short girls they can do and undo
21,0,and you know they burned holes in all the carpeting
22,0,you are a land creature you would drown
23,0,to all those doomandgloomers the chicken littles who clai am the sky is falling and that society is collapsing canada has had gay marriage nationwide for years where is the disaster where is the collapse and the persecution youre shouting about where is it please show us some examples because its starting to look like your threats and fears and warnings are nothing but hot air
24,0,craig we have been saying from the start that this is a very entertaining show  it awakens the horny little goth in me  i met my boyfriend during the first season and one of the first thing we did was watch ahs at my house  i know he likes me and all but to this day he is sure i am far creepier and kinkier than he could ever be  thanks american horror story  sweet clam loves you
25,0,strange you are talking about that when there were chelsea fans in here belittling the community shield
26,0,but how would you actually get the key out
27,0,oh cool some more internet points for your collection 
28,0,even though i think there are better coaches out there i am glad del negro is keeping his job i never thought he got enough credit those years when he took those average chicago bulls teams he coached to the playoffs years in a row
29,0,russellpiano nhmmmmhow can we spin obama honoring vietnam troops as something negativeanswer doesnt matter look at our followers theyll take anythingnn  nobama team  hmmm how can we make the liberal messiah look better in light of the revelations of his leaking classified information to the new york ti amesi know lets have a bogus photo shoot at the viet nam memorial that will make obama look like he cares about vets but first well have to clear all the vets out of the i ammediate area because they cant be trusted 
30,0,a good article which for all the good it will do could have been delivered to a brick wall
31,0,heads up warninganother source of funding for media matters is peter lewis of the progessive insurance company you know those auto insurance commercials that run every minutes on cable television featuring the gal who looks like a blowup doll with red lips and a perfectly round mouthif you know what i meannif you have progressive auto insurance just know that part of your premium is going to fund a progressive liberal organization hell bent on destroying our country and our free speech their mission is to bring down hannitybeckdobbslavinli ambaughboortzetc we must not let them win
32,0,sdnoriko lol as if capcom listens watch them fuck this up too i hope i am wrong i love okami
33,1,allinit1 your hypocrisy is sickening you ignorant loser
34,0,fast furious didnt work out like they planned did itlololololololol
35,0,mitt isnt the best candidate for president but going against the worst candidate ever should help hi am tremendously nobama is one and done it could happen no other way
36,1,i cant believe the stupid people on this site that have no idea what is going on you fools you are all useful idiots they are hiding the truth because you fools who protect hi am would look like the useful idiots you are
37,1,fucking behave then you prick 
38,0,the only other relevant fact is that he is destroying america 
39,0,you are a liar
40,1,is that it your sum total to any conversation is first abuse and then calling them a troll  you are a typical socialist idiot keep up your non existent class warfare it is as pointless as you
41,0,beanstalk briview welp then nbw right
42,0,good job fellas i didnt quite read the rules about a signature piece but i guess that was as good as any i found some great blogs to follow and to share over at g+ if i am not commenting on your blogs its because i always throw my two cents in when i post my share add me on there if you are a googler nhttps plus google posts again congratulations to the winners and i hope we get the chance to submit something else this was fucking fun
43,0,i say hang is ass in the center of the town to let it be known that this type of behavior gets this type of punishment the lady had a kid 1 week ago women arent safe to have sex after child birth for at least weeks so even if this was consensual it would have been way too soon and hurt the lady i am so glad the the baby is so young and will not remember this event happening in its house and i hope the mother recovers quickly
44,1,look at you faggot midget
45,0,you right if you are relax then you can give better result or perform and your identity should be from your work
46,1,ai amless abe you are a delusion weirdo that should be locked up inside and kept away from computer anyone who doubts the lunacy of abe the moronic prog frog from nyc please read this thread and you will see abe completely come apart from the seams and go off the deep end
47,0,that i do not doubtnnas a blackberry clonennbut your original argument was not that android would have existed just that android somehow predates ios development
48,0,okc should work out a deal to get a pg who plays more like parker or cp i think nash at the point and move westbrook to sg that team would be unstoppable i amagine the shots nash would create for durant then westbrook would be at his natural position too the guy doesnt create shots or distribute
49,0,mahers show goes on and onnpalins alakda show gets cancelednnisnt the free market wonderful
50,1,even as a troll you are a pathetic failure
51,0,grazie mille sabrina sei cosxec dolcennbaci
